"ID","MonthlyIncome"
871,5537.88060376457
872,2707.90717468142
873,12817.7950539322
874,2328.05399816639
875,2754.22612995656
876,4916.40268242717
877,5272.8773978875
878,2191.23364180695
879,2928.82429799612
880,13317.2297674027
881,9688.97884409069
882,2583.02023924996
883,5599.39151251898
884,5340.88498550204
885,5786.17397202403
886,5486.63538873091
887,5822.70468807581
888,5543.72258312352
889,4484.07930082864
890,2703.29387827916
891,4605.53269710561
892,8984.02501068777
893,8875.89728280218
894,5485.20229962898
895,10001.142315261
896,9093.67245928036
897,8885.8044653886
898,15983.4837348764
899,5660.43196387993
900,2723.82487634767
901,2579.01789835538
902,5530.99631036872
903,6019.52898974334
904,2660.62160801224
905,16148.2048918251
906,5315.10503327183
907,9334.79549653141
908,5763.14819833606
909,2542.8208210506
910,2581.70465482184
911,19130.6687396005
912,2750.79886687891
913,2625.96051726587
914,12829.0726984733
915,5649.46525628498
916,4225.46698970393
917,2738.74252076111
918,5440.77707075361
919,2424.21783656182
920,2974.41440952623
921,2432.32336861442
922,2458.78651920073
923,4431.84946729263
924,4181.56237358726
925,17017.0343263934
926,2855.71640429337
927,5670.93883192279
928,12814.8088436675
929,2094.42361092032
930,2582.74620580787
931,5686.77474974391
932,12503.0244974108
933,8907.89722277459
934,2316.14447209293
935,2264.07128186948
936,2291.29071726465
937,9300.13301839808
938,9280.9711455594
939,4931.56837493188
940,2424.29752713234
941,2992.64403258879
942,9093.5807819536
943,9859.22639148394
944,5549.7240020984
945,2315.07383993166
946,5477.00120930315
947,2277.14668768167
948,2754.66444410549
949,2610.21857651755
950,5442.60649364055
951,2553.72491126952
952,5521.57591774415
953,5566.69506662182
954,2537.5018443055
955,4041.72515383833
956,7703.86410567703
957,10333.9059161274
958,2493.30769337308
959,9498.35309645776
960,19688.8766225714
961,2768.44780572636
962,4724.74099167303
963,5699.07309576736
964,4600.73571156072
965,2693.42208491996
966,19311.4351961525
967,2687.40834775711
968,8816.05142653184
969,16819.0976353218
970,2667.47443071742
971,5585.9038673737
972,5738.76929907353
973,2399.62791381263
974,2590.08207971821
975,5614.28612654063
976,2714.62800480683
977,6086.48890066107
978,2711.39609640486
979,9284.0813867362
980,19137.3159662255
981,2681.65718021191
982,9207.00589793913
983,2687.86732165377
984,2594.67973104426
985,5656.96723110682
986,2626.49423475046
987,2486.41727833226
988,5520.48518370231
989,9369.56233444012
990,2581.03479552062
991,4856.38667515777
992,2701.39007074521
993,4785.67454799251
994,5377.61740513809
995,5051.00499746228
996,4923.57769014656
997,2598.31972954245
998,16668.4546911432
999,9024.7767092332
1000,2291.91733771613
1001,4913.73664381712
1002,4172.70235684958
1003,4704.39303275915
1004,6248.70865068431
1005,3016.9217702373
1006,5630.38435362615
1007,2448.90451188793
1008,5743.08939865508
1009,19288.4597693937
1010,4708.10057720078
1011,9106.34799696441
1012,4802.40483591898
1013,5784.47324152802
1014,4274.98121138633
1015,5405.96428489587
1016,2712.9334861554
1017,2677.68248527831
1018,8891.42772715742
1019,9099.86485422099
1020,2072.81409970573
1021,5596.62475413142
1022,5210.95869193242
1023,4539.08348908584
1024,9402.12498285444
1025,16209.3718902043
1026,18518.7655714971
1027,4444.24683811013
1028,5471.23425962724
1029,5391.16359551782
1030,8576.04460447283
1031,5356.88983185682
1032,2802.63816960338
1033,12304.0458237341
1034,2493.21800221066
1035,4153.13788843256
1036,2646.15528962853
1037,5513.11044716745
1038,8040.93803079928
1039,12474.1970709164
1040,5775.69812418887
1041,2345.04295697601
1042,2842.83776903092
1043,8867.40944163975
1044,6063.29342247701
1045,2435.97850328171
1046,2239.62548226267
1047,5635.66542457238
1048,12415.6936503554
1049,2746.60034892029
1050,5534.54920989754
1051,10038.2013166169
1052,2490.3589963863
1053,5778.97979173783
1054,2804.7089860284
1055,2581.59495072197
1056,2560.48987843164
1057,5360.45910195731
1058,15897.0503654376
1059,5087.70915538797
1060,2882.82351536184
1061,4727.41138210066
1062,5487.28246696625
1063,5910.67489839906
1064,2356.74263577408
1065,5424.48408222257
1066,2506.25153833605
1067,3471.02082455534
1068,19452.6451524466
1069,5229.03959567667
1070,2381.35055435041
1071,2596.40437341855
1072,5828.18557649275
1073,2348.92558773361
1074,5661.23891892553
1075,5602.03754364274
1076,16229.0516303212
1077,19283.1979361392
1078,4380.90658445215
1079,4604.91688840388
1080,4864.71146207438
1081,2946.19277483161
1082,2584.23817424288
1083,2146.058730852
1084,5864.30135724287
1085,8721.9302683912
1086,9162.40726423057
1087,5522.59682478762
1088,2670.21106740753
1089,2743.71640770088
1090,5382.81001272537
1091,5417.2766354083
1092,5462.75569108535
1093,12251.8723620053
1094,5410.14122918498
1095,5195.33471496624
1096,5590.13069294431
1097,3297.32415043433
1098,2515.82775743529
1099,2706.50839097767
1100,5666.62504639864
1101,18999.9962534945
1102,5567.29193520132
1103,5548.42838749629
1104,10004.7988387693
1105,2743.03609785318
1106,2642.98631027645
1107,2947.40257781886
1108,4646.41463490528
1109,5452.09261266075
1110,5461.38439702561
1111,5518.22755213807
1112,12204.1911388804
1113,12815.4833390182
1114,5831.02838147295
1115,9715.49585459376
1116,2752.43406858974
1117,6188.34636445751
1118,4230.54968603029
1119,9685.28979701968
1120,2531.70965095016
1121,9277.23586932623
1122,16337.9395140347
1123,4550.29328383064
1124,16099.1620012528
1125,2663.81517713027
1126,2129.95278999065
1127,2496.20726308849
1128,4500.89958558808
1129,15758.7998867801
1130,2370.81442890453
1131,12313.5996291544
1132,16259.8039808671
1133,5703.00716328757
1134,2205.40903858647
1135,2783.87952953335
1136,2455.74145027544
1137,3081.19726331052
1138,5542.40153982664
1139,9086.41108510531
1140,16011.8462084343
1141,5847.7745570556
1142,5636.95042243735
1143,9830.25560345722
1144,5387.18409313204
1145,4577.90626430361
1146,5490.12249717254
1147,4239.07552215922
1148,2410.97448720108
1149,2649.61983357603
1150,5686.22868071403
1151,2486.77059186471
1152,5409.32410374821
1153,4962.37792916036
1154,2450.37027209899
1155,5943.45172138699
1156,12701.1554693694
1157,2411.14658587906
1158,4800.24947572941
1159,2551.29489155605
1160,5490.07891253422
1161,2798.02634185716
1162,8848.422844359
1163,2590.33383841123
1164,9048.61299983883
1165,2698.69951188831
1166,2101.85863090159
1167,9259.38187602217
1168,5517.84915569943
1169,2744.07809481521
1170,2745.95554261578
